Beruf,Anzahl
Milchpraktiker/in EBA,29
Milchtechnologe/-login EFZ,129
Montage-Elektriker/in EFZ,718
Motorgerätemechaniker/in EFZ,20
Motorradmechaniker/in EFZ,16
Müller/in EFZ,16
Multimediaelektroniker/in EFZ,54
Musikinstrumentenbauer/in EFZ,4
Netzelektriker/in EFZ,160
Oberflächenbeschichter/in EFZ,26
Oberflächenpraktiker/in EBA,16
Oberflächenveredler/in Uhren und Schmuck EFZ,5
Obstfachmann/-frau EFZ,27
Ofenbauer/in EFZ,19
Orthopädieschuhmacher/in EFZ,10
Orthopädist/in EFZ,2
Papiertechnologe/-login EFZ,7
Pferdefachmann/-frau EFZ,68
Pferdewart/in EBA,35
Pflästerer/Pflästerin EFZ,4
Pharma-Assistent/in EFZ,285
Physiklaborant/in EFZ,19
Plattenleger/in EFZ,81
Plattenlegerpraktiker/in EBA,17
Podologe/-login EFZ,28
Polisseur/-euse EBA,1
Polydesigner/in 3D EFZ,26
Polygraf/in EFZ,50
Polymechaniker/in EFZ,1084
Printmedienpraktiker/in EBA,8
Printmedienverarbeiter/in EFZ,46
Produktionsmechaniker/in EFZ,381
Recyclist/in EFZ,34
Reifenpraktiker/in EBA,80
Restaurationsangestellte/r EBA,103
Restaurationsfachmann/-frau EFZ,524
Säger/in Holzindustrie EFZ,31
Sanitärinstallateur/in EFZ,662
Schreiner/in EFZ,618
Schreinerpraktiker/in EBA,123
Schuhmacher/in EFZ,3
Seilbahner/in EBA,8
Seilbahn-Mechatroniker/in EFZ,15
Spengler/in EFZ,323
Steinbildhauer/in EFZ,2
Steinmetz/in EFZ,12
Steinsetzer/in EBA,0
Steinwerker/in EFZ,7
Storenmontagepraktiker/in EBA,5
Storenmonteur/in EFZ,37
Strassenbauer/in EFZ,261
Strassenbaupraktiker/in EBA,47
Strassentransportfachmann/-frau EFZ,203
Strassentransportpraktiker/in EBA,21
Systemgastronomiefachmann/-frau EFZ,89
Telematiker/in EFZ,44
Textilpraktiker/in EBA,6
Textiltechnologe/-login EFZ,20
Theatermaler/in EFZ,0
Tiermedizinische/r Praxisassistent/in EFZ,23
Tierpfleger/in EFZ,20
Uhrenarbeiter/in EBA,26
Uhrmacher/in EFZ,46
Uhrmacher/in Produktion EFZ,21
Unterhaltspraktiker/in EBA,50
Veranstaltungsfachmann/-frau EFZ,12
Vergolder/in-Einrahmer/in EFZ,1
Verpackungstechnologe/-login EFZ,16
Weintechnologe/-login EFZ,18
Winzer/in EFZ,39
Wohntextilgestalter/in EFZ,11
Zahntechniker/in EFZ,14
Zeichner/in EFZ,397
Zimmermann/Zimmerin EFZ,431
