,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Rekrutierungszentrum Aarau,2019,Abdichter/in EFZ,Aarau (AG)
1,1,Ecco-Jäger,2019,Abdichtungspraktiker/in EBA,Bad Ragaz (SG)
2,1,Asoo GmbH,2019,Agrarpraktiker/in EBA,Basel (BS)
3,3,Ausbildungsverbund SPEDLOGSWISS,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Basel (BS)
4,2,Basler Kantonalbank,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Basel (BS)
5,1,Basler Versicherung AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Basel (BS)
6,3,Bau- und Verkehrsdepartement BS,2019,Anlagen- und Apparatebauer/in EFZ,Basel (BS)
7,5,"Departement für Wirtschaft, Soziales und Umwelt",2019,Anlagenführer/in EFZ,Basel (BS)
8,2,DHL Logistics (Schweiz) AG,2019,Architekturmodellbauer/in EFZ,Basel (BS)
9,1,Eidg. Zollverwaltung,2019,Assistent/in Gesundheit und Soziales EBA,Basel (BS)
10,2,Erziehungsdepartement Basel-Stadt,2019,Augenoptiker/in EFZ,Basel (BS)
11,1,Felder & Jetzer AG,2019,Automatiker/in EFZ,Basel (BS)
12,4,Finanzdepartement Basel-Stadt,2019,Automatikmonteur/in EFZ,Basel (BS)
13,4,Justiz- und Sicherheitsdepartement,2019,Automobil-Assistent/in EBA,Basel (BS)
14,1,Liro Credit Consulting GmbH,2019,Automobil-Fachmann/-frau EFZ,Basel (BS)
15,1,Novartis Pharma AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Basel (BS)
16,1,Präsidialdepartement,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Basel (BS)
17,1,Schweizerische Rheinhäfen,2019,Automobil-Mechatroniker/in EFZ,Basel (BS)
18,1,Stiftung ECAP,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Basel (BS)
19,5,Universitätsspital Basel,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Basel (BS)
20,1,Bruno Poletti AG,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Bellmund (BE)
21,2,Berner Fachhochschule,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Bern (BE)
22,1,Jaisli-Xamax AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Bern (BE)
23,1,Schlichtungsbehörde,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Bern (BE)
24,1,Steuerverwaltung des Kantons Bern,2019,Baumaschinenmechaniker/in EFZ,Bern (BE)
25,10,Stiftung Schulungs- und Wohnheime Rossfeld,2019,Baupraktiker/in EBA,Bern (BE)
26,1,G. Zehnder AG,2019,Bauwerktrenner/in EFZ,Birmenstorf AG (AG)
27,1,ASS Immobilientreuhand AG,2019,Bekleidungsgestalter/in EFZ,Eiken (AG)
28,1,Westfalen Gas Schweiz GmbH,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Eiken (AG)
29,1,Etat de Fribourg - Staat Freiburg,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Freiburg (FR)
30,1,Wolfisberg Tor-Technik AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Kägiswil (OW)
31,1,ASSA ABLOY (Schweiz) AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Kleinlützel (SO)
32,1,CWS-boco Suisse SA,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Kriens (LU)
33,1,Heime Kriens AG,2019,Bekleidungsnäher/in EBA,Kriens (LU)
34,1,CHUV - Site de Lausanne,2018,Betonwerker/in EFZ,Lausanne (VD)
35,3,Drahtesel,2019,Boden-Parkettleger/in EFZ,Liebefeld (BE)
36,1,Bau- und Umweltschutzdirektion,2019,Boden-Parkettleger/in (Parkett) EFZ,Liestal (BL)
37,1,"Bildungs-, Kultur- und Sportdirektion",2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Liestal (BL)
38,5,Finanz- und Kirchendirektion Personalamt,2019,Bootbauer/in EFZ,Liestal (BL)
39,1,Indur Antriebstechnik AG,2019,Bootfachwart/in EFZ,Liestal (BL)
40,1,Sicherheitsdirektion,2019,Buchhändler/in EFZ,Liestal (BL)
41,5,Spedlogswiss Nordwestschweiz,2019,Büchsenmacher/in EFZ,Liestal (BL)
42,1,ImmoDienste Zentralschweiz AG,2019,Bühnentänzer/in EFZ,Luzern (LU)
43,1,Kaufm. Verband Luzern,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Luzern (LU)
44,1,Stiftung La Capriola,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Luzern (LU)
45,1,Febo Brandschutz GmbH,2019,Büroassistent/in EBA,Münchenstein (BL)
46,2,Nauta SA,2019,Carrosserielackierer/in EFZ,Münchenstein (BL)
47,1,Stadtverwaltung Murten,2019,Carrosseriespengler/in EFZ,Murten (FR)
48,1,M+R Spedag Group AG,2019,Chemie- und Pharmapraktiker/in EBA,Muttenz (BL)
49,1,Impactmédias SA - Publicitas S.A.,2019,Chemie- und Pharmatechnologe/-login EFZ,Neuenburg (NE)
50,1,Mitterberger,2019,Coiffeur/-euse EBA,Niederglatt ZH (ZH)
51,1,Bianchi Bau AG,2019,Coiffeur/-euse EFZ,Obersaxen (GR)
52,1,Adm. communale Orbe,2018,Dachdecker/in EFZ,Orbe (VD)
53,1,Ziegler Schweiz AG,2019,Dachdeckerpraktiker/in EBA,Pratteln (BL)
54,1,Dachser Spedition AG,2019,Dekorationsnäher/in EBA,Regensdorf (ZH)
55,1,Tarag AG,2019,Dentalassistent/in EFZ,Reinach BL (BL)
56,1,Rekrutierungszentrum Rüti,2019,Detailhandelsassistent/in EBA,Rüti ZH (ZH)
57,1,Reinhard AG Sachseln,2019,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Sachseln (OW)
58,1,Kantonale Verwaltung,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Schwyz (SZ)
59,1,Administration cantonale - Sion,2019,Detailhandelsassistent/in (Consumer-Electronics) EBA,Sitten (VS (fr))
60,1,Altes Spital Solothurn,2019,Detailhandelsassistent/in (Do-it-yourself) EBA,Solothurn (SO)
