,Anzahl,Firma,Jahr,Lehrstelle,Ort
152,1,Garage de Blonay,2018,"Edelstein-/Diamantenschleifer/in (EFZ, Kt. Regl. TI)",Blonay (VD)
153,1,Garage Rao GmbH,2019,Elektroinstallateur/in EFZ,Bonau (TG)
154,2,Garage Tinguely AG,2019,Elektroniker/in EFZ,Bösingen (FR)
155,1,Espace Automobile,2019,Elektroplaner/in EFZ,Boudevilliers (NE)
156,1,Armeelogistikcenter Hinwil,2019,Entwässerungspraktiker/in EBA,Bronschhofen (SG)
157,1,Auto Schlatter AG,2019,Entwässerungstechnologe/-login EFZ,Brugg AG (AG)
158,1,ZentralGarage Sutter AG,2019,Entwässerungstechnologe/in (Sanieren von Entwässerungsanlagen) EFZ,Brunnen (SZ)
159,1,Auto Kurve AG,2019,Entwässerungstechnologe/in (Untersuchen von Entwässerungsanlagen) EFZ,Bubendorf (BL)
160,1,Auto Recher AG,2019,Entwässerungstechnologe/in (Warten von Entwässerungsanlagen) EFZ,Bubendorf (BL)
161,1,Garage Sulser AG,2019,Fachmann/-frau Betreuung EFZ,Buchs SG (SG)
162,1,Garage Cudazzo GmbH,2019,Fachmann/-frau Betreuung (Behindertenbetreuung) EFZ,Buchs SG 1 (SG)
163,2,Furttal-Garage,2019,Fachmann/-frau Betreuung (Betagtenbetreuung) EFZ,Buchs ZH (ZH)
164,1,Garage Stalder,2019,Fachmann/-frau Betreuung (Generalistische Ausbildung) EFZ,Bülach (ZH)
165,1,Kantonspolizei Zürich,2019,Fachmann/-frau Betreuung (Kinderbetreuung) EFZ,Bülach (ZH)
166,1,Seemattgarage Peischler GmbH,2019,Fachmann/-frau Betriebsunterhalt EFZ,Bülach (ZH)
167,2,Mercedes-Benz Automobiles SA,2019,Fachmann/-frau Betriebsunterhalt (Hausdienst) EFZ,Bulle (FR)
168,1,JPF Construction SA,2019,Fachmann/-frau Betriebsunterhalt (Werkdienst) EFZ,Bulle 1 (FR)
169,1,Auto Heller AG Buochs,2019,Fachmann/-frau Bewegungs- und Gesundheitsförderung EFZ,Buochs (NW)
170,1,Garage Marco Altmann,2019,Fachmann/-frau Gesundheit EFZ,Büsingen (SH)
171,1,Alpine-Garage GmbH,2019,Fachmann/-frau Hauswirtschaft EFZ,Bütschwil (SG)
172,1,Forrer Automobile,2019,Fachmann/-frau Information und Dokumentation EFZ,Bütschwil (SG)
