,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Brillen Trotter AG,2019,Abdichter/in EFZ,Aarau (AG)
1,1,Visilab Säntis AG,2019,Abdichtungspraktiker/in EBA,Abtwil SG (SG)
2,1,Kühnis Optik Appenzell AG,2019,Agrarpraktiker/in EBA,Appenzell (AI)
3,1,Fielmann AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Basel (BS)
4,2,Fielmann AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Basel (BS)
5,1,Kochoptik Basel,2019,Agrarpraktiker/in (Weinbereitung) EBA,Basel (BS)
6,1,Messner Optik GmbH,2019,Anlagen- und Apparatebauer/in EFZ,Basel (BS)
7,1,Visilab AG,2019,Anlagenführer/in EFZ,Basel (BS)
8,1,Sehstern Optik GmbH,2019,Architekturmodellbauer/in EFZ,Berikon (AG)
9,2,Fielmann AG,2019,Assistent/in Gesundheit und Soziales EBA,Bern (BE)
10,1,Kochoptik AG,2019,Augenoptiker/in EFZ,Bern (BE)
11,2,Fielmann AG,2019,Automatiker/in EFZ,Biel/Bienne (BE)
12,1,Visilab Boujean SA,2019,Automatikmonteur/in EFZ,Biel/Bienne (BE)
13,1,Bloch Optic AG,2019,Automobil-Assistent/in EBA,Breitenbach (SO)
14,1,Fielmann AG,2019,Automobil-Fachmann/-frau EFZ,Buchs SG (SG)
15,1,Fielmann AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Bülach (ZH)
16,1,Optik Angst,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bülach (ZH)
17,1,Optik Zentrum Unternährer,2019,Automobil-Mechatroniker/in EFZ,Buochs (NW)
18,1,Fielmann AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Burgdorf (BE)
19,1,MC Optik (Schweiz) AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Burgdorf (BE)
20,1,Herzog Optik AG,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Cham (ZG)
21,2,Fielmann AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Chur (GR)
22,1,Optik Rüfenacht GmbH,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Chur (GR)
23,1,Optic 2000 Léman Centre SA,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Crissier (VD)
24,1,Augenoptik Ulmer AG,2019,Baumaschinenmechaniker/in EFZ,Dielsdorf (ZH)
25,1,Import Optik Ebikon,2019,Baupraktiker/in EBA,Ebikon (LU)
26,1,Achermann Optik AG,2019,Bauwerktrenner/in EFZ,Frauenfeld (TG)
27,1,Fielmann AG,2019,Bekleidungsgestalter/in EFZ,Frauenfeld (TG)
28,1,Fielmann AG,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Freiburg (FR)
29,1,Schmutz SA opticiens,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Freiburg 1 (FR)
30,1,Paroz - Optic Gland S.A.,2018,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Gland (VD)
31,1,Fielmann AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Glis (VS (de))
