,Anzahl,Firma,Jahr,Lehrstelle,Ort
32,1,Ebneter Optik,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Goldach (SG)
33,1,Horisberger Optik AG,2019,Bekleidungsnäher/in EBA,Grenchen (SO)
34,1,Adler Optik & Akustik GmbH,2019,Betonwerker/in EFZ,Herisau (AR)
35,1,Visilab Hinwil AG,2019,Boden-Parkettleger/in EFZ,Hinwil (ZH)
36,1,Wegmüller Optik AG,2019,Boden-Parkettleger/in (Parkett) EFZ,Huttwil (BE)
37,1,Caveng Optik,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Ilanz (GR)
38,1,Liechti Optik AG,2019,Bootbauer/in EFZ,Kirchberg BE (BE)
39,1,Brillen Paradies AG,2019,Bootfachwart/in EFZ,Kriens (LU)
40,1,Kriens Optik Akustik AG,2019,Buchhändler/in EFZ,Kriens (LU)
41,1,Ehrler-Optik AG,2019,Büchsenmacher/in EFZ,Küssnacht am Rigi (SZ)
42,1,Novoptic SA,2019,Bühnentänzer/in EFZ,La Chaux-de-Fonds (NE)
43,1,"RG Vision SA, Alain Afflelou",2019,Bühnentänzer/in (Klassischer Tanz) EFZ,La Chaux-de-Fonds (NE)
44,1,Visilab Langendorf AG,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Langendorf (SO)
45,1,Fielmann AG,2019,Büroassistent/in EBA,Langenthal (BE)
46,1,ABC Opticiens SA,2018,Carrosserielackierer/in EFZ,Lausanne (VD)
47,1,Chabloz Optique SA,2018,Carrosseriespengler/in EFZ,Lausanne (VD)
48,2,Fielmann SA,2018,Chemie- und Pharmapraktiker/in EBA,Lausanne (VD)
49,1,Optique de la Gare Scheggia-Guisiano SA,2018,Chemie- und Pharmatechnologe/-login EFZ,Lausanne (VD)
50,1,Visilab - La Palud,2018,Coiffeur/-euse EBA,Lausanne (VD)
51,1,Visilab Métropole SA,2018,Coiffeur/-euse EFZ,Lausanne (VD)
52,1,Star'Optique SA,2018,Dachdecker/in EFZ,Le Sentier (VD)
53,1,Koppelmann Optik AG,2019,Dachdeckerpraktiker/in EBA,Liestal (BL)
54,1,Fielmann AG,2019,Dekorationsnäher/in EBA,Luzern (LU)
55,1,Visilab Luzern,2019,Dentalassistent/in EFZ,Luzern (LU)
56,1,Kochoptik AG,2019,Detailhandelsassistent/in EBA,Malters (LU)
57,1,Lunetterie des Platanes SA,2019,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Martigny (VS (fr))
58,1,Schneider Optik + Akustik,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Meilen (ZH)
59,1,Alain Afflelou - Montreux,2018,Detailhandelsassistent/in (Consumer-Electronics) EBA,Montreux (VD)
60,1,Optic 2000 / Futur View SA,2018,Detailhandelsassistent/in (Do-it-yourself) EBA,Moudon (VD)
61,1,Kochoptik AG,2019,Detailhandelsassistent/in (Eisenwaren) EBA,Muttenz (BL)
62,1,Fielmann SA,2019,Detailhandelsassistent/in (Elektrofach) EBA,Neuenburg (NE)
63,1,Fielmann AG,2019,Detailhandelsassistent/in (Farben) EBA,Olten (SO)
64,1,Visilab Olten AG,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Olten (SO)
65,1,Neukom Optik AG,2019,Detailhandelsassistent/in (Flower) EBA,Pfäffikon ZH (ZH)
66,1,Kühnis Optik Mels AG,2019,Detailhandelsassistent/in (Garden) EBA,Pizolpark (Mels) (SG)
67,1,Visilab Pully SA,2018,Detailhandelsassistent/in (Haushalt) EBA,Pully (VD)
68,2,Fielmann AG,2019,Detailhandelsassistent/in (Kiosk) EBA,Rapperswil SG (SG)
69,1,Kochoptik AG,2019,Detailhandelsassistent/in (Landi) EBA,Reinach BL (BL)
70,1,Lunetterie de la Mèbre Ophtalmopole Sàrl,2018,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Renens VD (VD)
71,1,Veronesi Optik,2019,Detailhandelsassistent/in (Möbel) EBA,Rheinfelden (AG)
72,1,Dezero GmbH Optik & Akustik,2019,Detailhandelsassistent/in (Musikinstrumente) EBA,Rotkreuz (ZG)
73,1,Optik Bernardi AG,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Sargans (SG)
74,1,McOptik (Schweiz) AG,2019,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,Sarnen (OW)
75,1,Fielmann AG,2019,Detailhandelsassistent/in (Papeterie) EBA,Schaffhausen (SH)
76,1,Steffen AG Brillen Kontaktlinsen,2019,Detailhandelsassistent/in (Parfumerie) EBA,Schüpfheim (LU)
77,1,Fielmann AG,2019,Detailhandelsassistent/in (Post) EBA,Schwyz (SZ)
78,1,Pagliara Optics GmbH,2019,Detailhandelsassistent/in (Schuhe) EBA,Schwyz (SZ)
79,1,Fielmann AG,2019,Detailhandelsassistent/in (Spielwaren) EBA,Solothurn (SO)
80,1,Mc Optik (Schweiz) AG,2019,Detailhandelsassistent/in (Sportartikel) EBA,Solothurn (SO)
81,1,Visilab Tivoli AG,2019,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Spreitenbach (AG)
82,2,Fielmann AG,2019,Detailhandelsassistent/in (Textil) EBA,St. Gallen (SG)
83,1,Külling Optik und Contactlinsen AG,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",St. Gallen (SG)
84,1,OpticMaster AG,2019,Detailhandelsassistent/in (Zoofachhandel) EBA,St. Gallen (SG)
85,1,Ryser Optik AG,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",St. Gallen (SG)
86,1,Visilab Shopping Arena AG,2019,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,St. Gallen (SG)
87,1,Visilab Rheinpark AG,2019,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,St. Margrethen SG (SG)
88,1,Kochoptik AG,2019,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Stans (NW)
89,1,Visilab Zugerland AG,2019,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Steinhausen (ZG)
90,1,Fielmann AG,2019,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Thalwil (ZH)
91,1,Kochoptik AG,2019,Detailhandelsfachmann/-frau Beratung (Elektrofach) EFZ,Thalwil (ZH)
92,1,Fielmann AG,2019,Detailhandelsfachmann/-frau Beratung (Farben) EFZ,Thun (BE)
93,1,MC Optik (Schweiz) AG,2019,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Thun (BE)
94,1,Paratte Optique SA,2019,Detailhandelsfachmann/-frau Beratung (Flower) EFZ,Tramelan (BE)
95,1,Brillen Kündig AG,2019,Detailhandelsfachmann/-frau Beratung (Garden) EFZ,Unterägeri (ZG)
96,1,Fielmann AG,2019,Detailhandelsfachmann/-frau Beratung (Haushalt) EFZ,Uster (ZH)
97,1,Rebien Augenoptik AG,2019,Detailhandelsfachmann/-frau Beratung (Kiosk) EFZ,Vaduz (FL)
98,1,Jeanmonod SA,2018,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Vallorbe (VD)
99,1,Niro-Optik,2019,Detailhandelsfachmann/-frau Beratung (Lederwaren und Reiseartikel) EFZ,Wald ZH (ZH)
100,1,Kochoptik AG,2019,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Wallisellen (ZH)
101,1,Augenoptik Ott,2019,Detailhandelsfachmann/-frau Beratung (Musikinstrumente) EFZ,Wattwil (SG)
102,1,Cemin Augenoptik,2019,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Wattwil (SG)
103,1,Neugart Optik AG,2019,Detailhandelsfachmann/-frau Beratung (Öffentlicher Verkehr) EFZ,Weinfelden (TG)
104,1,Villa Optik AG,2019,Detailhandelsfachmann/-frau Beratung (Papeterie) EFZ,Weinfelden (TG)
105,2,Fielmann AG,2019,Detailhandelsfachmann/-frau Beratung (Parfümerie) EFZ,Wil SG (SG)
106,1,Bertschi Optik AG,2019,Detailhandelsfachmann/-frau Beratung (Post) EFZ,Winterthur (ZH)
107,2,Fielmann AG,2019,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Winterthur (ZH)
108,1,Besser Optik Zollikon,2019,Detailhandelsfachmann/-frau Beratung (Spielwaren) EFZ,Zollikon (ZH)
109,2,Fielmann AG,2019,Detailhandelsfachmann/-frau Beratung (Sportartikel) EFZ,Zug (ZG)
110,1,Augenkontakt AG,2019,Detailhandelsfachmann/-frau Beratung (Teppich und Bodenbeläge) EFZ,Zürich (ZH)
111,4,Fielmann AG,2019,Detailhandelsfachmann/-frau Beratung (Textil) EFZ,Zürich (ZH)
112,2,Fielmann AG,2019,Detailhandelsfachmann/-frau Beratung (Uhren-Schmuck-Edelsteine) EFZ,Zürich (ZH)
113,1,Gautschi Optik Zürich AG,2019,Detailhandelsfachmann/-frau Beratung (Zoofachhandel) EFZ,Zürich (ZH)
114,1,Kochoptik AG,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Bewirtschaftung",Zürich (ZH)
115,1,Visilab Letzipark AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Autoteile-Logistik) EFZ,Zürich (ZH)
116,1,Visilab Oerlikon AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Bäckerei/Konditorei/Confiserie) EFZ,Zürich (ZH)
117,4,W. Althaus AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Consumer-Electronics) EFZ,Aarwangen (BE)
118,2,Stöcklin Logistik AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Do-it-yourself) EFZ,Aesch BL (BL)
119,1,thuba AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Eisenwaren) EFZ,Allschwil (BL)
120,1,RUAG Schweiz AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Elektrofach) EFZ,Alpnach Dorf (OW)
121,1,login Berufsbildung AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Farben) EFZ,Altdorf UR (UR)
122,1,"Nestlé, Nespresso SA",2018,Detailhandelsfachmann/-frau Bewirtschaftung (Fleischwirtschaft) EFZ,Avenches (VD)
123,1,Rittmeyer AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Flower) EFZ,Baar (ZG)
124,1,Axpo Power AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Garden) EFZ,Baden (AG)
125,38,libs Industrielle Berufslehren Schweiz,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Haushalt) EFZ,Baden (AG)
126,3,OC Oerlikon Balzers AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Kiosk) EFZ,Balzers (FL)
127,2,Actemium Schweiz AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Landi) EFZ,Basel (BS)
128,1,Bell Schweiz AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Lederwaren und Reiseartikel) EFZ,Basel (BS)
129,2,CBRE GWS GmbH,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Möbel) EFZ,Basel (BS)
130,1,Elektrizitäts AG EAGB,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Musikinstrumente) EFZ,Basel (BS)
131,1,ETAVIS Kriegel+Schaffner AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Nahrungs- und Genussmittel) EFZ,Basel (BS)
132,3,F. Hoffmann-La Roche AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Papeterie) EFZ,Basel (BS)
133,1,IWB Industrielle Werke Basel,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Parfümerie) EFZ,Basel (BS)
134,1,login Berufsbildung AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Post) EFZ,Basel (BS)
135,2,Novartis Pharma AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Schuhe) EFZ,Basel (BS)
136,1,Sauter Building Control Schweiz AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Spielwaren) EFZ,Basel (BS)
137,1,Selmoni Installation AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Sportartikel) EFZ,Basel (BS)
138,1,a.b.c. Elektrotechnik AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Teppich und Bodenbeläge) EFZ,Belp (BE)
139,1,login Berufsbildung AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Textil) EFZ,Bern (BE)
140,1,STB Engineering AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Uhren-Schmuck-Edelsteine) EFZ,Berschis (SG)
141,1,Suvema AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Zoofachhandel) EFZ,Biberist (SO)
142,1,login Berufsbildung AG,2019,Diätkoch/-köchin EFZ,Biel/Bienne (BE)
143,1,login formation professionnelle SA,2019,Drogist/in EFZ,Biel/Bienne (BE)
144,1,Ingmatic AG,2019,Drucktechnologe/-login EFZ,Birsfelden (BL)
145,1,Bischofszell Nahrungsmittel AG,2019,Drucktechnologe/-login (Bogendruck) EFZ,Bischofszell (TG)
146,1,Pezag Elektro AG,2019,Drucktechnologe/-login (Reprografie) EFZ,Bischofszell (TG)
147,1,Hamilton Bonaduz AG,2019,Drucktechnologe/-login (Rollendruck) EFZ,Bonaduz (GR)
148,1,login Berufsbildung AG,2019,Drucktechnologe/-login (Siebdruck) EFZ,Bönigen b. Interlaken (BE)
149,1,Polytab SA,2019,"Medientechnologe/-login (Print) EFZ, in Anhörung",Boudry (NE)
150,1,Demostene + Partner AG,2019,"Medientechnologe/-login (Printmediatechnik) EFZ, in Anhörung",Brig (VS (de))
151,1,Spenger AG,2019,"Medientechnologe/-login (Siebdruck) EFZ, in Anhörung",Bronschhofen (SG)
152,1,Eniwa AG,2019,"Edelstein-/Diamantenschleifer/in (EFZ, Kt. Regl. TI)",Buchs AG (AG)
153,2,Landert Motoren AG,2019,Elektroinstallateur/in EFZ,Bülach (ZH)
154,2,Liebherr Machines Bulle SA,2019,Elektroniker/in EFZ,Bulle (FR)
155,1,Axalta Polymer Powders Switzerland Sàrl,2019,Elektroplaner/in EFZ,Bulle 1 (FR)
156,2,ASIC Robotics AG,2019,Entwässerungspraktiker/in EBA,Burgdorf (BE)
157,1,login Berufsbildung AG,2019,Entwässerungstechnologe/-login EFZ,Burgdorf (BE)
158,1,SAPA Prodotti Plastici Sagl,2019,Entwässerungstechnologe/in (Sanieren von Entwässerungsanlagen) EFZ,Campocologno (GR)
159,1,Schleuniger AG,2019,Entwässerungstechnologe/in (Untersuchen von Entwässerungsanlagen) EFZ,Cham (ZG)
160,1,Heineken Switzerland AG,2019,Entwässerungstechnologe/in (Warten von Entwässerungsanlagen) EFZ,Chur (GR)
161,1,Micarna SA,2019,Fachmann/-frau Betreuung EFZ,Courtepin (FR)
162,1,AVM Steuerungen  AG,2019,Fachmann/-frau Betreuung (Behindertenbetreuung) EFZ,Dietfurt (SG)
163,1,EMS-CHEMIE AG,2019,Fachmann/-frau Betreuung (Betagtenbetreuung) EFZ,Domat/Ems (GR)
164,1,Ebnat AG,2019,Fachmann/-frau Betreuung (Generalistische Ausbildung) EFZ,Ebnat-Kappel (SG)
165,1,Poste,2018,Fachmann/-frau Betreuung (Kinderbetreuung) EFZ,Eclépens (VD)
166,2,Schaltag AG,2019,Fachmann/-frau Betriebsunterhalt EFZ,Effretikon (ZH)
167,1,Emmi Schweiz AG,2019,Fachmann/-frau Betriebsunterhalt (Hausdienst) EFZ,Emmen (LU)
168,1,MB Systembau AG,2019,Fachmann/-frau Betriebsunterhalt (Werkdienst) EFZ,Emmenbrücke (LU)
169,2,Swiss Steel AG,2019,Fachmann/-frau Bewegungs- und Gesundheitsförderung EFZ,Emmenbrücke (LU)
170,3,thyssenkrupp Presta AG,2019,Fachmann/-frau Gesundheit EFZ,Eschen (FL)
171,1,Estavayer Lait SA,2019,Fachmann/-frau Hauswirtschaft EFZ,Estavayer-le-Lac (FR)
172,1,Ewag AG,2019,Fachmann/-frau Information und Dokumentation EFZ,Etziken (SO)
173,2,Mägerle AG,2019,Fachmann/-frau Kundendialog EFZ,Fehraltorf (ZH)
174,1,Albula-Landwasser Kraftwerke AG,2019,Fachmann/-frau Leder und Textil EFZ,Filisur (GR)
175,1,FLAWA Consumer GmbH,2019,Fachmann/-frau Leder und Textil (Fahrzeuge und Technik) EFZ,Flawil (SG)
176,1,Flumroc AG,2019,Fachmann/-frau Leder und Textil (Feinlederwaren) EFZ,Flums (SG)
177,1,PASTA PREMIUM AG,2019,Fachmann/-frau Leder und Textil (Pferdesport) EFZ,Frauenfeld (TG)
178,20,EMF Ecole des Métiers / Berufsfachschule Fribourg,2019,Fachmann/-frau öffentlicher Verkehr EFZ,Freiburg (FR)
179,1,Villars Maître Chocolatier SA,2019,Fachmann/-frau öffentlicher Verkehr (Planung) EFZ,Freiburg (FR)
180,1,Polytype SA/AG,2019,Fachmann/-frau öffentlicher Verkehr (Zugbegleitung) EFZ,Freiburg 1 (FR)
181,1,Ref-Flex,2019,Fachmann/-frau Textilpflege EFZ,Freiburg 1 (FR)
182,1,Mifa AG (Mibelle Group Frenkendorf),2019,Fachmann/-frau Textilpflege (Textilreinigung) EFZ,Frenkendorf (BL)
183,1,login Berufsbildung AG,2019,Fachmann/-frau Textilpflege (Wäscherei) EFZ,Frutigen (BE)
184,1,Tabelco SA,2019,Fahrradmechaniker/in EFZ,Givisiez (FR)
185,2,Huber + Monsch AG,2019,Fahrzeugschlosser/in EFZ,Gossau SG (SG)
186,2,Siemens Schweiz AG,2019,Fassadenbauer/in EFZ,Gossau SG (SG)
187,1,Dividella AG,2019,Fassadenbaupraktiker/in EBA,Grabs (SG)
188,1,ETA SA Manufacture Horlogère Suisse,2019,Feinwerkoptiker/in EFZ,Grenchen (SO)
189,1,Indico Electronic AG,2019,Fleischfachassistent/in EBA,Gümligen (BE)
190,1,Krebs Tableaubau AG,2019,Fleischfachassistent/in (Produktion und Verarbeitung) EBA,Hägendorf (SO)
191,1,Paxmatic AG,2019,Fleischfachassistent/in (Vorbereitung und Verkauf) EBA,Haldenstein (GR)
192,4,libs,2019,Fleischfachmann/-frau EFZ,Heerbrugg (SG)
193,3,SFS intec AG,2019,Fleischfachmann/-frau (Feinkost und Veredelung) EFZ,Heerbrugg (SG)
194,1,Huber + Suhner AG,2019,Fleischfachmann/-frau (Gewinnung) EFZ,Herisau (AR)
195,1,EE AG,2019,Fleischfachmann/-frau (Verarbeitung) EFZ,Hinwil (ZH)
196,2,PFIFFNER Messwandler AG,2019,Flexodrucker/in EFZ,Hirschthal (AG)
197,1,WIKA Schweiz AG,2019,Florist/in EBA,Hitzkirch (LU)
198,4,VICTORINOX AG,2019,Florist/in EFZ,Ibach (SZ)
199,1,w. frei ag,2019,Formenbauer/in EFZ,Jona (SG)
