,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Café-Konditorei Rüedi AG,2019,Abdichter/in EFZ,Aadorf (TG)
1,1,Bäckerei-Konditorei zur Kettenbrücke,2019,Abdichtungspraktiker/in EBA,Aarau (AG)
2,1,Coop - CD Aclens,2018,Agrarpraktiker/in EBA,Aclens (VD)
3,1,Bäckerei-Konditorei Graber,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Aeschi b. Spiez (BE)
4,1,Feinbäckerei Hauger AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Altdorf UR (UR)
5,1,Lehn-Beck AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Altdorf UR (UR)
6,2,BÖHLI AG,2019,Anlagen- und Apparatebauer/in EFZ,Appenzell (AI)
7,1,Bäckerei-Konditorei Schäfli,2019,Anlagenführer/in EFZ,Appenzell Steinegg (AI)
8,2,Archer Beck AG,2019,Architekturmodellbauer/in EFZ,Arch (BE)
9,1,Boulangerie-pâtisserie Stalder SA,2018,Assistent/in Gesundheit und Soziales EBA,Aubonne (VD)
10,1,Bäckerei Hotz Rust AG,2019,Augenoptiker/in EFZ,Baar (ZG)
11,1,Bäckerei Jetzer GmbH,2019,Automatiker/in EFZ,Basel (BS)
12,1,Boulangerie La Coopé,2018,Automatikmonteur/in EFZ,Baulmes (VD)
13,2,Oswald AG,2019,Automobil-Assistent/in EBA,Bazenheid (SG)
14,1,Boulangerie Bal-Blanc Sàrl,2018,Automobil-Fachmann/-frau EFZ,Bercher (VD)
15,1,Bäckerei Bohnenblust AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Bern (BE)
16,1,Bäckerei Lanz AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bern (BE)
17,1,Insel Gruppe AG,2019,Automobil-Mechatroniker/in EFZ,Bern (BE)
18,1,Storchenbäckerei,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Bern (BE)
19,1,Kilian Fischer,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Beromünster (LU)
20,1,Boulangerie-pâtisserie Schmid Christian,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Bex (VD)
21,1,Bäckerei-Konditorei,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Biberist (SO)
22,1,Feinbäckerei Weber AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Birsfelden (BL)
23,1,Boulangerie Compondu Yves,2018,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Blonay (VD)
24,1,Reinhard AG,2019,Baumaschinenmechaniker/in EFZ,Bolligen (BE)
25,1,Boulangerie - Tea-Room Zihlmann E. et J.,2019,Baupraktiker/in EBA,Bossonnens (FR)
26,1,Café Streuli GmbH,2019,Bauwerktrenner/in EFZ,Bottmingen (BL)
27,2,Kuhn Back & Gastro AG,2019,Bekleidungsgestalter/in EFZ,Brunnadern (SG)
28,2,Daniel Bosshart,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Brütten (ZH)
29,2,Macchi AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Buchrain (LU)
30,1,Bäckerei-Konditorei Bergamin,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Buochs (NW)
31,1,Jeker Bäckerei & Shop,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Büsserach (SO)
32,1,Bäckerei Nussbaumer AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Cham (ZG)
33,1,von Rotz GmbH,2019,Bekleidungsnäher/in EBA,Cham (ZG)
34,2,Maillard Gourmandises et Traditions SA,2019,Betonwerker/in EFZ,Châtel-St-Denis (FR)
35,2,Boulangerie Bidlingmeyer SA,2018,Boden-Parkettleger/in EFZ,Chexbres (VD)
36,3,Merz Fertigungs AG,2019,Boden-Parkettleger/in (Parkett) EFZ,Chur (GR)
37,1,Boulangerie du Village,2018,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Colombier VD (VD)
38,1,Boulangerie Bigler Yanick,2018,Bootbauer/in EFZ,Combremont-le-Grand (VD)
39,2,Brot vom Held GmbH,2019,Bootfachwart/in EFZ,Dachsen (ZH)
40,1,P. Clément Boulangerie-Pâtisserie Sàrl,2018,Buchhändler/in EFZ,Daillens (VD)
41,1,Bäckerei-Konditorei Café Weber AG,2019,Büchsenmacher/in EFZ,Davos Dorf (GR)
42,1,Bäckerei Laube AG,2019,Bühnentänzer/in EFZ,Derendingen (SO)
43,1,Bäckerei Brunner AG,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Dierikon (LU)
44,3,Ernst Hotz AG,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Dübendorf (ZH)
45,6,Jowa SA,2018,Büroassistent/in EBA,Ecublens VD (VD)
46,1,W. Peter,2019,Carrosserielackierer/in EFZ,Egg b. Zürich (ZH)
47,1,CORNETTO AG,2019,Carrosseriespengler/in EFZ,Ennenda (GL)
48,1,Volg Bäckerei,2019,Chemie- und Pharmapraktiker/in EBA,Ennetbürgen (NW)
49,1,Georg AG,2019,Chemie- und Pharmatechnologe/-login EFZ,Eschen (FL)
50,1,Café-Bäckerei Imwinkelried AG,2019,Coiffeur/-euse EBA,Fiesch (VS (de))
51,1,Feinbäckerei-Confiserie Moser,2019,Coiffeur/-euse EFZ,Fraubrunnen (BE)
52,1,sonne-beck AG,2019,Dachdecker/in EFZ,Frauenfeld (TG)
53,1,Pastizaria Cantieni,2019,Dachdeckerpraktiker/in EBA,Ftan (GR)
54,1,Konsumgenossenschaft,2019,Dekorationsnäher/in EBA,Gams (SG)
55,1,Pâtisserie - Boulangerie Kirsch,2018,Dentalassistent/in EFZ,Givrins (VD)
56,2,Jacques Gabriel AG,2019,Detailhandelsassistent/in EBA,Glarus (GL)
57,1,Alfred Huber,2019,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Gommiswald (SG)
58,1,Motzer Bäckerei Gonten AG,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Gonten (AI)
59,6,JOWA AG,2019,Detailhandelsassistent/in (Consumer-Electronics) EBA,Gränichen (AG)
60,1,Back-Caffee AG,2019,Detailhandelsassistent/in (Do-it-yourself) EBA,Grenchen (SO)
61,1,Gassler-Beck AG,2019,Detailhandelsassistent/in (Eisenwaren) EBA,Grenchen (SO)
62,1,Boulangerie-Pâtisserie,2019,Detailhandelsassistent/in (Elektrofach) EBA,Grimentz (VS (fr))
63,1,Bäckerei Krummenacher AG,2019,Detailhandelsassistent/in (Farben) EBA,Grosswangen (LU)
64,1,Peter Linder,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Gwatt (Thun) (BE)
65,1,Vögeli-Beck AG,2019,Detailhandelsassistent/in (Flower) EBA,Hägendorf (SO)
66,1,Bäckerei Häfeli AG,2019,Detailhandelsassistent/in (Garden) EBA,Hallau (SH)
67,1,Franziska Schläpfer,2019,Detailhandelsassistent/in (Haushalt) EBA,Henggart (ZH)
68,1,Bäckerei Thalmann GmbH,2019,Detailhandelsassistent/in (Kiosk) EBA,Hergiswil b. Willisau (LU)
69,1,BKC Schläpfer,2019,Detailhandelsassistent/in (Landi) EBA,Herisau (AR)
70,1,Bäckerei Bartlome,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Hindelbank (BE)
71,1,Bäckerei-Confiserie Koch AG,2019,Detailhandelsassistent/in (Möbel) EBA,Hochdorf (LU)
72,1,Hodel Bäckerei AG,2019,Detailhandelsassistent/in (Musikinstrumente) EBA,Hofstatt (LU)
73,1,Erich Schnyder,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Horgen (ZH)
74,1,Vetterli,2019,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,Horgen (ZH)
75,1,Bäckerei-Konditorei Oertle,2019,Detailhandelsassistent/in (Papeterie) EBA,Hundwil (AR)
76,1,Bäckerei-Konditorei-Lebensmittel Hp. Birrer,2019,Detailhandelsassistent/in (Parfumerie) EBA,Huttwil (BE)
77,1,Bäckerei-Konditorei Jung,2019,Detailhandelsassistent/in (Post) EBA,Kirchberg SG (SG)
78,2,Bertschi Bäckerei,2019,Detailhandelsassistent/in (Schuhe) EBA,Kloten (ZH)
79,1,Bäckerei-Konditorei Bürgin GmbH,2019,Detailhandelsassistent/in (Spielwaren) EBA,Kreuzlingen (TG)
80,1,Rhybeck Kobler,2019,Detailhandelsassistent/in (Sportartikel) EBA,Kriessern (SG)
81,2,Beck Hitz AG,2019,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Küblis (GR)
82,1,Boulangerie-pâtisserie-confiserie Kolly Sàrl,2019,Detailhandelsassistent/in (Textil) EBA,La Chaux-de-Fonds (NE)
83,1,Le Fournil de Pierre Sàrl,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",La Chaux-de-Fonds (NE)
84,1,Ziegler Bäckerei-Conditorei AG,2019,Detailhandelsassistent/in (Zoofachhandel) EBA,Landquart (GR)
85,1,Lehmann Holzofenbeck AG,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",Lanterswil (TG)
86,2,Bäckerei-Konditorei-Confiserie,2019,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Lenk im Simmental (BE)
87,1,Au Pain d'Antan S.A.,2018,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Les Emibois (JU)
88,1,Ziegler Brot AG,2019,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Liestal (BL)
89,1,Sunnis AG,2019,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Lungern (OW)
90,1,Bäckerei Konditorei Café,2019,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Luzern (LU)
91,3,Heini Conditorei AG,2019,Detailhandelsfachmann/-frau Beratung (Elektrofach) EFZ,Luzern (LU)
92,1,Merz AG,2019,Detailhandelsfachmann/-frau Beratung (Farben) EFZ,Luzern (LU)
93,1,Bäckerei-Konditorei Gut,2019,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Marthalen (ZH)
94,1,Bäckerei-Konditorei Steiner,2019,Detailhandelsfachmann/-frau Beratung (Flower) EFZ,Menznau (LU)
95,1,Moser Peter,2019,Detailhandelsfachmann/-frau Beratung (Garden) EFZ,Messen (SO)
96,1,Boulangerie Ronny,2018,Detailhandelsfachmann/-frau Beratung (Haushalt) EFZ,Mézières VD (VD)
97,2,Konditorei Buchmann AG,2019,Detailhandelsfachmann/-frau Beratung (Kiosk) EFZ,Münchenstein (BL)
98,2,Sutter AG,2019,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Münchenstein (BL)
99,3,Conditorei Schelbert AG,2019,Detailhandelsfachmann/-frau Beratung (Lederwaren und Reiseartikel) EFZ,Muotathal (SZ)
100,1,Reto Frey,2019,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Neudorf (LU)
101,1,Schloss-Beck GmbH,2019,Detailhandelsfachmann/-frau Beratung (Musikinstrumente) EFZ,Nidau (BE)
102,1,Bäckerei-Conditorei Fleischli AG,2019,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Niederglatt ZH (ZH)
103,1,miin Beck  Sonja Müller,2019,Detailhandelsfachmann/-frau Beratung (Öffentlicher Verkehr) EFZ,Niederhelfenschwil (SG)
104,1,Bäckerei-Konditorei,2019,Detailhandelsfachmann/-frau Beratung (Papeterie) EFZ,Nottwil (LU)
105,1,GANT SA,2018,Detailhandelsfachmann/-frau Beratung (Parfümerie) EFZ,Novazzano (TI)
106,2,kreativ beck ag,2019,Detailhandelsfachmann/-frau Beratung (Post) EFZ,Oberburg (BE)
107,1,Markus Zimmermann,2019,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Obergösgen (SO)
108,1,Bäcker-Konditorei Brunner,2019,Detailhandelsfachmann/-frau Beratung (Spielwaren) EFZ,Oberhelfenschwil (SG)
109,1,Bäckerei Wagner AG,2019,Detailhandelsfachmann/-frau Beratung (Sportartikel) EFZ,Oberuzwil (SG)
110,1,Bäckerei und Restaurant Linde AG,2019,Detailhandelsfachmann/-frau Beratung (Teppich und Bodenbeläge) EFZ,Orpund (BE)
111,1,Schneiders Quer AG,2019,Detailhandelsfachmann/-frau Beratung (Textil) EFZ,Pfäffikon ZH (ZH)
112,1,Urs Rössler,2019,Detailhandelsfachmann/-frau Beratung (Uhren-Schmuck-Edelsteine) EFZ,Pfungen (ZH)
113,1,Genossenschaft Migros Ostschweiz,2019,Detailhandelsfachmann/-frau Beratung (Zoofachhandel) EFZ,Pizolpark (Mels) (SG)
114,1,Boulangerie Dériaz SA,2018,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Bewirtschaftung",Préverenges (VD)
115,1,Wick AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Autoteile-Logistik) EFZ,Rapperswil SG (SG)
116,1,IGU Beck GmbH,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Bäckerei/Konditorei/Confiserie) EFZ,Recherswil (SO)
117,1,Bäckerei-Konditorei zur Weinburg,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Consumer-Electronics) EFZ,Rehetobel (AR)
118,1,Bäckerei Nyffenegger GmbH,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Do-it-yourself) EFZ,Reiden (LU)
119,2,Bäckerei Grellinger,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Eisenwaren) EFZ,Reinach BL (BL)
120,1,Boulangerie-pâtisserie Didier Fuchs,2018,Detailhandelsfachmann/-frau Bewirtschaftung (Elektrofach) EFZ,Renens VD (VD)
121,1,Bäckerei-Café Zulauf AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Farben) EFZ,Roggwil BE (BE)
122,1,De Roggwiler Beck GmbH,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Fleischwirtschaft) EFZ,Roggwil TG (TG)
123,1,Boulangerie-Pâtisserie-Confiserie,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Flower) EFZ,Romont FR (FR)
124,1,Süesswinkel AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Garden) EFZ,Rothenburg (LU)
