,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Jakob Tanner AG,2019,Abdichter/in EFZ,Aadorf (TG)
1,1,peressini roofing AG,2019,Abdichtungspraktiker/in EBA,Aesch BL (BL)
2,1,Abdichtungsbau Durrer AG,2019,Agrarpraktiker/in EBA,Alpnach Dorf (OW)
3,1,Marty Stefan AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Altendorf (SZ)
4,1,Arthur Müggler & Co. AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Altstätten SG (SG)
5,1,Räss AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Altstätten SG (SG)
6,1,Vogel Dach- und Fassadenbau AG,2019,Anlagen- und Apparatebauer/in EFZ,Amriswil (TG)
7,1,Weber Bedachungen,2019,Anlagenführer/in EFZ,Amriswil (TG)
8,1,Bürer Flachdach AG,2019,Architekturmodellbauer/in EFZ,Bad Ragaz (SG)
9,1,Carl Meier Sohn AG,2019,Assistent/in Gesundheit und Soziales EBA,Bassersdorf (ZH)
10,1,E. Jörg AG,2019,Augenoptiker/in EFZ,Bätterkinden (BE)
11,1,Dörig Bedachungen Fassadenbau AG,2019,Automatiker/in EFZ,Berg TG (TG)
12,1,De Luca Isolationen AG,2019,Automatikmonteur/in EFZ,Biel/Bienne (BE)
13,2,Riget AG,2019,Automobil-Assistent/in EBA,Bilten (GL)
14,1,schuler + helfenstein ag,2019,Automobil-Fachmann/-frau EFZ,Cham (ZG)
15,1,Meli AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Chur (GR)
16,2,Meyer's Söhne AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Chur (GR)
17,1,Colas Suisse SA - succursale de Crissier,2018,Automobil-Mechatroniker/in EFZ,Crissier (VD)
18,1,Odermatt Bedachungen und Spenglerei AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Dallenwil (NW)
19,3,Schoop + Co. AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Dättwil AG (AG)
20,1,Giger GmbH Degersheim,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Degersheim (SG)
21,1,W. Bosshard AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Dietikon (ZH)
22,2,Walo Bertschinger AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Dietikon (ZH)
23,1,Dachbau Frei AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Domat/Ems (GR)
24,1,Ackermann AG,2019,Baumaschinenmechaniker/in EFZ,Düdingen (FR)
25,1,Blemo AG,2019,Baupraktiker/in EBA,Dürnten (ZH)
26,1,Banz AG,2019,Bauwerktrenner/in EFZ,Ebikon (LU)
27,2,Roth Bedachungen Fassaden AG,2019,Bekleidungsgestalter/in EFZ,Ebnat-Kappel (SG)
28,4,Geneux-Dancet SA - Echandens,2018,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Echandens (VD)
29,1,Bohl AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Emmen (LU)
30,1,GLB Emmental,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Emmenmatt (BE)
31,1,BEPA Heinz Imboden AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Engelberg (OW)
32,1,Boretti AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Erlen (TG)
33,1,Hans Hehlen AG,2019,Bekleidungsnäher/in EBA,Erlenbach ZH (ZH)
34,1,Sutech - Etanchéité SA,2019,Betonwerker/in EFZ,Evionnaz (VS (fr))
35,1,Burlet AG,2019,Boden-Parkettleger/in EFZ,Fällanden (ZH)
36,1,Schwager Bedachungen AG,2019,Boden-Parkettleger/in (Parkett) EFZ,Fischingen (TG)
