,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Dr. med. dent. Ksenija Nussbaum,2019,Abdichter/in EFZ,Aadorf (TG)
1,1,Dr. med. dent. Christian Greuter,2019,Abdichtungspraktiker/in EBA,Aarau (AG)
2,1,Adligenswil,2019,Agrarpraktiker/in EBA,Adligenswil (LU)
3,1,Dr.med.dent. Beat Huber,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Adligenswil (LU)
4,1,Zahnarztpraxis Sunnemärt,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Adliswil (ZH)
5,1,Dr. med. dent. Martin Leuenberger,2019,Agrarpraktiker/in (Weinbereitung) EBA,Aesch BL (BL)
6,1,Gemeinschaftspraxis im Strebel,2019,Anlagen- und Apparatebauer/in EFZ,Affoltern am Albis (ZH)
7,3,Clinique Dentaire d'Aigle SA,2018,Anlagenführer/in EFZ,Aigle (VD)
8,1,Dr. med. dent. Marc Bandi,2019,Architekturmodellbauer/in EFZ,Allschwil (BL)
9,1,Zahnarztpraxis Yvonne Körte,2019,Assistent/in Gesundheit und Soziales EBA,Allschwil (BL)
10,1,Zahnarztpraxis Andreas-Kim Vogel,2019,Augenoptiker/in EFZ,Alpnach Dorf (OW)
11,1,Dr. Axel Jenzsch,2019,Automatiker/in EFZ,Altdorf UR (UR)
12,1,Dr. Boris Okmian,2019,Automatikmonteur/in EFZ,Altendorf (SZ)
13,1,Dr. med. dent. Thomas Kuhn,2019,Automobil-Assistent/in EBA,Amriswil (TG)
14,1,Bojovic Dragomir,2019,Automobil-Fachmann/-frau EFZ,Appenzell (AI)
15,1,Dr. med. dent. M. Senay,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Appenzell (AI)
16,1,Dr. med. dent. Marjan Suntev,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Appenzell (AI)
17,1,Dr Johnny Georges Médecin-dentiste,2018,Automobil-Mechatroniker/in EFZ,Aubonne (VD)
18,1,Dr. med. dent. Bruno Hobi,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Bad Ragaz (SG)
19,1,Dr.med.dent. Martin Conrad AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Baden (AG)
20,1,Zahnärzte am Bahnhofplatz GmbH,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Baden (AG)
21,1,Dr.med.dent. Erik R.D. Müller,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Bäretswil (ZH)
22,1,Dr. med. dent. Adrian Büttel,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Basel (BS)
23,1,Dr. med. dent. Christoph Epting,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Basel (BS)
24,1,Dr. med. dent. P.A. Isler,2019,Baumaschinenmechaniker/in EFZ,Basel (BS)
25,6,Universitäres Zentrum für Zahnmedizin UZB,2019,Baupraktiker/in EBA,Basel (BS)
26,1,Zahnarztpraxis med. dent. Jan Jörgensen,2019,Bauwerktrenner/in EFZ,Basel (BS)
27,1,Zahnarztpraxis Schifflände,2019,Bekleidungsgestalter/in EFZ,Basel (BS)
28,1,Dr.med.dent. Andrés Pastori,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Bassersdorf (ZH)
29,1,Dr.med.dent. Thomas Gusset,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Bassersdorf (ZH)
30,1,zahnteam4you ag,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Bazenheid (SG)
31,1,Hr. Dr. med. dent. Hendrik Vogt,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Beringen (SH)
32,1,Klinik für Kieferorthopädie,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Bern (BE)
33,1,Praxis am Hirschengraben,2019,Bekleidungsnäher/in EBA,Bern (BE)
34,2,Universität Bern,2019,Betonwerker/in EFZ,Bern (BE)
35,1,Universität Bern,2019,Boden-Parkettleger/in EFZ,Bern (BE)
36,1,Universität Bern,2019,Boden-Parkettleger/in (Parkett) EFZ,Bern (BE)
37,1,Zahnarztpraxis,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Bern (BE)
38,1,Zahnarztpraxis,2019,Bootbauer/in EFZ,Bern (BE)
39,1,Zahnarztpraxis,2019,Bootfachwart/in EFZ,Bern (BE)
40,1,Zahnarztpraxis,2019,Buchhändler/in EFZ,Bern (BE)
41,1,Zahnarztpraxis,2019,Büchsenmacher/in EFZ,Bern (BE)
42,1,Zahnarztpraxis Kristan,2019,Bühnentänzer/in EFZ,Bern (BE)
43,1,Zahninsel GmbH,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Bern (BE)
44,1,Dr. med. dent. Andrea Stebler,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Bettlach (SO)
45,1,White Bex Sàrl,2018,Büroassistent/in EBA,Bex (VD)
46,1,Cabinet Dentaire Central,2019,Carrosserielackierer/in EFZ,Biel/Bienne (BE)
47,1,dentalcenters.ch,2019,Carrosseriespengler/in EFZ,Biel/Bienne (BE)
48,1,Zahnarztpraxis,2019,Chemie- und Pharmapraktiker/in EBA,Biel/Bienne (BE)
49,1,Zahnarztpraxis / Cabinet dentaire,2019,Chemie- und Pharmatechnologe/-login EFZ,Biel/Bienne (BE)
50,1,Zahnarztpraxis zur alten Waage,2019,Coiffeur/-euse EBA,Binningen (BL)
51,1,hiDENT Cabinet Dentaire,2018,Coiffeur/-euse EFZ,Blonay (VD)
52,1,Zahnarzt Bolligen AG,2019,Dachdecker/in EFZ,Bolligen (BE)
53,1,Zahnarztpraxis Petra Schweiger,2019,Dachdeckerpraktiker/in EBA,Bonstetten (ZH)
54,1,Dr. med. dent. Daniele Fasciglione,2019,Dekorationsnäher/in EBA,Breitenbach (SO)
55,1,Zahnarztpraxis Bremgarten,2019,Dentalassistent/in EFZ,Bremgarten b. Bern (BE)
56,1,Zahnpraxis Brugg Sead Habibija,2019,Detailhandelsassistent/in EBA,Brugg AG (AG)
57,1,Dr. med. dent. Jürg Schenk-Kuchenbuch,2019,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Bubendorf (BL)
58,1,zahnarztzentrum.ch AG,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Buchs SG (SG)
59,1,Lüdin Zahnaerzte AG,2019,Detailhandelsassistent/in (Consumer-Electronics) EBA,Bülach (ZH)
60,2,med.dent. Ch. Hardegger Baltensperger,2019,Detailhandelsassistent/in (Do-it-yourself) EBA,Bülach (ZH)
61,1,Ardentis Centre dentaire,2019,Detailhandelsassistent/in (Eisenwaren) EBA,Bulle (FR)
62,1,Cabinet Dentaire Gazur Sàrl,2019,Detailhandelsassistent/in (Elektrofach) EBA,Bulle (FR)
63,1,Centre Dentaire B1,2019,Detailhandelsassistent/in (Farben) EBA,Bulle (FR)
64,1,Dr Guillaume Honoré,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Bulle (FR)
65,1,Dr Parisod Jean-Pierre,2019,Detailhandelsassistent/in (Flower) EBA,Bulle (FR)
66,1,Ravenel Patrick,2019,Detailhandelsassistent/in (Garden) EBA,Bulle (FR)
67,1,zahnarztzentrum.ch AG Burgdorf,2019,Detailhandelsassistent/in (Haushalt) EBA,Burgdorf (BE)
68,4,Clinique dentaire de Lausanne,2018,Detailhandelsassistent/in (Kiosk) EBA,Bussigny (VD)
69,1,Dr.med.dent. Daniel Bolfing,2019,Detailhandelsassistent/in (Landi) EBA,Buttisholz (LU)
70,1,Cabinet dentaire,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Cernier (NE)
71,1,Dr.med.dent. A. Brunner,2019,Detailhandelsassistent/in (Möbel) EBA,Cham (ZG)
72,1,Dr.med.dent. Patrick Sequeira,2019,Detailhandelsassistent/in (Musikinstrumente) EBA,Cham (ZG)
73,1,Dr. med. dent. Braguglia Marco,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Chur (GR)
74,1,Dr. med. dent. Loher Christoph,2019,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,Chur (GR)
75,1,Dr. med. dent. Nay Peter,2019,Detailhandelsassistent/in (Papeterie) EBA,Chur (GR)
76,1,Zahnarztpraxis,2019,Detailhandelsassistent/in (Parfumerie) EBA,Chur (GR)
77,1,ARDENTIS clinique dentaire Chablais,2019,Detailhandelsassistent/in (Post) EBA,Collombey (VS (fr))
78,3,Clinique dentaire du Chablais,2019,Detailhandelsassistent/in (Schuhe) EBA,Collombey (VS (fr))
79,3,Clinique dentaire du Valais SA,2019,Detailhandelsassistent/in (Spielwaren) EBA,Conthey (VS (fr))
80,1,Contheydental SA,2019,Detailhandelsassistent/in (Sportartikel) EBA,Conthey (VS (fr))
81,1,Ardentis - Clinique dentaire,2018,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Cossonay-Ville (VD)
82,1,Zahnarztpraxis Dallenwil,2019,Detailhandelsassistent/in (Textil) EBA,Dallenwil (NW)
83,1,MÖHR ZAHNÄRZTE,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",Dielsdorf (ZH)
84,1,Med. dent. N. Komadina,2019,Detailhandelsassistent/in (Zoofachhandel) EBA,Diessenhofen (TG)
85,1,Schulzahnklinik Dietikon,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",Dietikon (ZH)
86,1,Zahnärzte Hasenberg,2019,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Dietikon (ZH)
87,1,Zahnarztpraxis Löwenzentrum,2019,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Dietikon (ZH)
88,1,zahnarztzentrum.ch AG,2019,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Dietikon (ZH)
89,1,Zahnarztpraxis Dr. E. Stevanovic,2019,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Dottikon (AG)
90,1,Zahnarztpraxis Dr. Nadine Fenner,2019,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Dübendorf (ZH)
91,1,Ärtzepraxis Bahnhofzentrum Düdingen,2019,Detailhandelsfachmann/-frau Beratung (Elektrofach) EFZ,Düdingen (FR)
92,1,Adent Zahnarztzentrum Ebikon,2019,Detailhandelsfachmann/-frau Beratung (Farben) EFZ,Ebikon (LU)
93,1,Dr. med. dent. R. Sleiter,2019,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Egerkingen (SO)
94,1,Dr.med.dent. Otto R. Notter,2019,Detailhandelsfachmann/-frau Beratung (Flower) EFZ,Egg b. Zürich (ZH)
95,1,Zahnarztpraxis Embrach-Rorbas,2019,Detailhandelsfachmann/-frau Beratung (Garden) EFZ,Embrach (ZH)
96,2,Dr.med. et med.dent. Roman Schwizer,2019,Detailhandelsfachmann/-frau Beratung (Haushalt) EFZ,Erlenbach ZH (ZH)
