,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Gidor Coiffure,2019,Abdichter/in EFZ,Abtwil SG (SG)
1,1,Gidor Coiffure,2019,Abdichtungspraktiker/in EBA,Adliswil (ZH)
2,1,Coiffure Wetter GmbH,2019,Agrarpraktiker/in EBA,Appenzell (AI)
3,1,Gidor Coiffure,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Arbon (TG)
4,1,Bruno Luongo,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Basel (BS)
5,1,AERNI riedogroup AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Bern (BE)
6,1,Upstairs Plus GmbH,2019,Anlagen- und Apparatebauer/in EFZ,Bern (BE)
7,1,Creative Coiffure la nouvelle,2019,Anlagenführer/in EFZ,Brüttisellen (ZH)
8,1,Gidor Coiffure,2019,Architekturmodellbauer/in EFZ,Buchs SG (SG)
9,1,haarWERK gmbh,2019,Assistent/in Gesundheit und Soziales EBA,Buchs SG (SG)
10,1,Salon Manhattan GmbH,2019,Augenoptiker/in EFZ,Buchs SG (SG)
11,1,Gidor Coiffure,2019,Automatiker/in EFZ,Bülach (ZH)
12,1,Bühler Hair Cosmetic,2019,Automatikmonteur/in EFZ,Chur (GR)
13,1,Gidor-Coiffure,2019,Automobil-Assistent/in EBA,Chur (GR)
14,1,Haaroase,2019,Automobil-Fachmann/-frau EFZ,Chur (GR)
15,1,The G-Vision Hairstylist,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Chur (GR)
16,1,Mark & Tröndle,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Davos Platz (GR)
17,2,Coiffure Andrea,2019,Automobil-Mechatroniker/in EFZ,Dietikon (ZH)
18,1,Gidor Coiffure,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Dietikon (ZH)
19,1,Hickenbick,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Dietikon (ZH)
20,1,Gidor Coiffure,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Dübendorf (ZH)
21,1,hairpin Coiffure,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Ebikon (LU)
22,1,Coiffeur Dolce vita,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Emmenbrücke (LU)
23,1,Coiffure Wettstein,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Emmenbrücke (LU)
24,1,Gidor Coiffure,2019,Baumaschinenmechaniker/in EFZ,Gossau SG (SG)
25,3,Steinmann AG,2019,Baupraktiker/in EBA,Gossau SG (SG)
26,1,Gidor-Coiffure,2019,Bauwerktrenner/in EFZ,Grenchen (SO)
27,1,GIDOR-Coiffure,2019,Bekleidungsgestalter/in EFZ,Herisau (AR)
28,1,Gidor Coiffure,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Hinwil (ZH)
29,1,Coiffure Timodella,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Horgen (ZH)
30,1,Coiffure Steiner GmbH,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Horw (LU)
31,1,Gidor Coiffure,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Kloten (ZH)
32,1,Coiffure Team Davide,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Laufen (BL)
33,1,Stedtlicoiffeur Christian Hamann,2019,Bekleidungsnäher/in EBA,Laufen (BL)
34,1,Piera Coiffure,2018,Betonwerker/in EFZ,Le Mont-sur-Lausanne (VD)
35,1,Haaratelier Aqualis,2019,Boden-Parkettleger/in EFZ,Leukerbad (VS (de))
36,1,Gidor Coiffure,2019,Boden-Parkettleger/in (Parkett) EFZ,Liestal (BL)
37,1,Coiffure TEAM Hugo Graf,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Luzern (LU)
38,1,Gidor-Coiffure,2019,Bootbauer/in EFZ,Luzern (LU)
39,1,Gidor-Coiffure,2019,Bootfachwart/in EFZ,Luzern (LU)
40,1,haircraft style by pfister,2019,Buchhändler/in EFZ,Luzern (LU)
41,1,Life for Hair,2019,Büchsenmacher/in EFZ,Luzern (LU)
42,1,Team Erwin Jost,2019,Bühnentänzer/in EFZ,Luzern (LU)
43,1,Coiffure Creative,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Malters (LU)
44,1,Arcos Coiffure,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Neuenburg (NE)
45,1,Othmar Hofstetter,2019,Büroassistent/in EBA,Oensingen (SO)
46,1,Coiffeurprivatschule Trendsetter AG,2019,Carrosserielackierer/in EFZ,Olten (SO)
47,1,Coiffeurprivatschule Trendsetter AG,2019,Carrosseriespengler/in EFZ,Olten (SO)
48,1,Gidor Coiffure,2019,Chemie- und Pharmapraktiker/in EBA,Olten (SO)
49,1,Coiffure La Perl,2019,Chemie- und Pharmatechnologe/-login EFZ,Pontresina (GR)
50,1,Gidor Coiffure,2019,Coiffeur/-euse EBA,Rapperswil SG (SG)
51,2,Rappi Hair AG,2019,Coiffeur/-euse EFZ,Rapperswil SG (SG)
52,1,Gidor Coiffure,2019,Dachdecker/in EFZ,Regensdorf (ZH)
53,1,Coiffure Jeannette,2019,Dachdeckerpraktiker/in EBA,Reinach BL (BL)
54,1,diamond and flair GmbH,2019,Dekorationsnäher/in EBA,Rorschach (SG)
55,1,Filippo Di Pane,2019,Dentalassistent/in EFZ,Rorschach (SG)
56,1,Gidor Coiffure,2019,Detailhandelsassistent/in EBA,Rorschach (SG)
57,1,Creatività,2019,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Röschenz (BL)
58,2,Cuafför LADA,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Samedan (GR)
59,1,Casa Terranova,2019,Detailhandelsassistent/in (Consumer-Electronics) EBA,Schaffhausen (SH)
60,1,CuttingRoom Hairclub,2019,Detailhandelsassistent/in (Do-it-yourself) EBA,Schaffhausen (SH)
61,1,GIDOR Coiffure,2019,Detailhandelsassistent/in (Eisenwaren) EBA,Schaffhausen (SH)
62,1,Hairplanet,2019,Detailhandelsassistent/in (Elektrofach) EBA,Schaffhausen (SH)
63,1,Q-Quality Coiffure,2019,Detailhandelsassistent/in (Farben) EBA,Schaffhausen (SH)
64,1,The Cutting Room GmbH,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Schaffhausen (SH)
65,1,Gidor Coiffure,2019,Detailhandelsassistent/in (Flower) EBA,Schlieren (ZH)
66,1,Coiffure Liberty Schönenwerd GmbH,2019,Detailhandelsassistent/in (Garden) EBA,Schönenwerd (SO)
67,1,Hair & Nail,2019,Detailhandelsassistent/in (Haushalt) EBA,Sempach (LU)
68,1,Gidor Coiffure,2019,Detailhandelsassistent/in (Kiosk) EBA,Solothurn (SO)
69,1,Hair Department Ambiente,2019,Detailhandelsassistent/in (Landi) EBA,Solothurn (SO)
70,1,le Coiffeur,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Solothurn (SO)
71,1,Arte dei Capelli 2011 GmbH,2019,Detailhandelsassistent/in (Möbel) EBA,St. Gallen (SG)
72,1,Gidor Coiffure,2019,Detailhandelsassistent/in (Musikinstrumente) EBA,St. Gallen (SG)
73,1,Gidor Coiffure,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,St. Gallen (SG)
74,1,Monique Art of Hair,2019,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,St. Gallen (SG)
75,1,charisma-youngstyle,2019,Detailhandelsassistent/in (Papeterie) EBA,Stäfa (ZH)
76,1,Marc Hossmann Hairdesign,2019,Detailhandelsassistent/in (Parfumerie) EBA,Stans (NW)
77,1,Coiffure Haarmonie Bessling,2019,Detailhandelsassistent/in (Post) EBA,Thalwil (ZH)
78,1,Gidor Coiffure,2019,Detailhandelsassistent/in (Schuhe) EBA,Uster (ZH)
79,1,Hair Factory GmbH,2019,Detailhandelsassistent/in (Spielwaren) EBA,Uster (ZH)
80,1,Silfrido for Hair,2019,Detailhandelsassistent/in (Sportartikel) EBA,Uster (ZH)
81,1,XSTYLE PERROTTA GmbH,2019,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Uster (ZH)
82,1,Coiffure Julia,2019,Detailhandelsassistent/in (Textil) EBA,Uzwil (SG)
83,1,Coiffure Kapp,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",Volketswil (ZH)
84,1,Gidor Coiffure,2019,Detailhandelsassistent/in (Zoofachhandel) EBA,Wädenswil (ZH)
85,1,Coiffure Berger GmbH,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",Watt (ZH)
