,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,4,"Modeco, Schweiz. Fachschule",2019,Abdichter/in EFZ,Zürich (ZH)
1,2,BBZ Olten,2019,Abdichtungspraktiker/in EBA,Olten 1 Fächer (SO)
2,8,Ecole de Couture du Valais,2019,Agrarpraktiker/in EBA,Siders (VS (fr))
3,1,Arnet Elementbau AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Dagmersellen (LU)
4,1,Stüssi,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Dällikon (ZH)
5,1,Favre Betonwaren AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Däniken SO (SO)
6,1,Paluselli Elementbau AG,2019,Anlagen- und Apparatebauer/in EFZ,Diepoldsau (SG)
7,1,BEFAG,2019,Anlagenführer/in EFZ,Flüelen (UR)
8,1,Macchi Beton-Fertigteile AG,2019,Architekturmodellbauer/in EFZ,Gettnau (LU)
9,1,Loacker AG,2019,Assistent/in Gesundheit und Soziales EBA,Hauptwil (TG)
10,1,Elementwerk Istighofen AG,2019,Augenoptiker/in EFZ,Istighofen (TG)
11,1,Creabeton Matériaux AG,2019,Automatiker/in EFZ,Lyss (BE)
12,1,MFP Préfabrication SA,2019,Automatikmonteur/in EFZ,Marin-Epagnier (NE)
13,1,FRISBA Raumzellen AG,2019,Automobil-Assistent/in EBA,Rickenbach LU (LU)
14,1,Fanger Kies + Beton AG,2019,Automobil-Fachmann/-frau EFZ,Sachseln (OW)
15,1,Cavag,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Schachen LU (LU)
16,2,SAW Spannbetonwerk AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Widnau (SG)
17,1,Külling AG,2019,Automobil-Mechatroniker/in EFZ,Wilchingen (SH)
