,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Tevag Interior AG,2019,Abdichter/in EFZ,Altendorf (SZ)
1,1,Manser Bodenbeläge AG,2019,Abdichtungspraktiker/in EBA,Appenzell (AI)
2,1,Roman Eugster GmbH,2019,Agrarpraktiker/in EBA,Appenzell (AI)
3,1,Markus Biland AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Birmenstorf AG (AG)
4,1,Vogel Bodenbelags-Center GmbH,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Buochs (NW)
5,1,HKM SA,2018,Agrarpraktiker/in (Weinbereitung) EBA,Crissier (VD)
6,1,Gurgurovci Parkett & Bodenbeläge GmbH,2019,Anlagen- und Apparatebauer/in EFZ,Emmenbrücke (LU)
7,1,Schiess Wohntextil AG,2019,Anlagenführer/in EFZ,Erlen (TG)
8,1,Blaser,2019,Architekturmodellbauer/in EFZ,Erlenbach ZH (ZH)
9,1,Albin Bardellini AG,2019,Assistent/in Gesundheit und Soziales EBA,Frauenfeld (TG)
10,1,Möbel Bürgy AG,2019,Augenoptiker/in EFZ,Gurmels (FR)
11,1,Teppich & Parkett CC - AG,2019,Automatiker/in EFZ,Hagendorn (ZG)
12,1,DECO PLUS GmbH,2019,Automatikmonteur/in EFZ,Hittnau (ZH)
13,1,Art on Bodenbeläge GmbH,2019,Automobil-Assistent/in EBA,Hochdorf (LU)
14,1,Hörndli Raumausstatter AG,2019,Automobil-Fachmann/-frau EFZ,Hochdorf (LU)
15,1,bodenkultur design ag,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Jona (SG)
16,1,Spiller AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Kriens (LU)
17,1,L & F Sols SA,2018,Automobil-Mechatroniker/in EFZ,Lausanne (VD)
18,1,MBSols Sàrl,2018,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Lausanne (VD)
19,2,Blanc & Cie SA,2018,Automobil-Mechatroniker/in (Personenwagen) EFZ,Lausanne 8 (VD)
20,1,Grichting Nestor,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Leukerbad (VS (de))
