,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Implenia Schweiz AG,2019,Abdichter/in EFZ,Aarau (AG)
1,1,Affentranger Bau AG,2019,Abdichtungspraktiker/in EBA,Altbüron (LU)
2,1,Contartese AG,2019,Agrarpraktiker/in EBA,Amriswil (TG)
3,1,Langenegger AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Appenzell (AI)
4,1,"Sutter AG, Appenzell",2019,Agrarpraktiker/in (Spezialkulturen) EBA,Appenzell (AI)
5,1,Fedi impraisa da fabrica SA,2019,Agrarpraktiker/in (Weinbereitung) EBA,Ardez (GR)
6,2,Erne AG,2019,Anlagen- und Apparatebauer/in EFZ,Arlesheim (BL)
7,1,Impresa Bogana Francesco Sagl,2019,Anlagenführer/in EFZ,Arvigo (GR)
8,1,Huber Straub AG,2019,Architekturmodellbauer/in EFZ,Basel (BS)
9,1,Baugeschäft Senn AG,2019,Assistent/in Gesundheit und Soziales EBA,Bichwil (SG)
10,1,Pittet Construction SA,2018,Augenoptiker/in EFZ,Bottens (VD)
11,1,StreuleBau AG,2019,Automatiker/in EFZ,Brülisau (AI)
12,1,Schwendener AG,2019,Automatikmonteur/in EFZ,Buchs SG 1 (SG)
13,1,Fust Bauunternehmung AG,2019,Automobil-Assistent/in EBA,Bütschwil (SG)
14,1,Melly Constructions SA,2019,Automobil-Fachmann/-frau EFZ,Chalais (VS (fr))
15,1,Camandona SA,2018,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Crissier (VD)
16,1,Bischofberger,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Diepoldsau (SG)
17,2,Josef Wiederkehr AG,2019,Automobil-Mechatroniker/in EFZ,Dietikon (ZH)
18,1,Walo Bertschinger AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Dietikon (ZH)
19,1,Implenia Schweiz AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Dietlikon (ZH)
20,1,Berther Bau und Industrie AG,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Disentis/Mustér (GR)
