,Anzahl,Firma,Jahr,Lehrstelle,Ort
21,1,STRABAG AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Disentis/Mustér (GR)
22,2,Birchmeier Bau AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Döttingen (AG)
23,1,Vogel AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Egerkingen (SO)
24,1,J. Erni AG,2019,Baumaschinenmechaniker/in EFZ,Flims Dorf (GR)
25,1,Frutiger AG Basel,2019,Baupraktiker/in EBA,Füllinsdorf (BL)
26,1,Schellenbaum AG,2019,Bauwerktrenner/in EFZ,Gähwil (SG)
27,1,Fischer AG,2019,Bekleidungsgestalter/in EFZ,Geiss (LU)
28,1,Kurmann Bau AG,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Gettnau (LU)
29,1,Berger Bau AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Grenchen (SO)
30,1,Krummenacher Bau AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Hellbühl (LU)
31,1,Bürgler Baugeschäft AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Hirzel (ZH)
32,1,Baumann,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Jona (SG)
33,1,Frühauf Bauteam AG,2019,Bekleidungsnäher/in EBA,Kägiswil (OW)
34,1,Landolt + Co. AG Bauunternehmung,2019,Betonwerker/in EFZ,Kleinandelfingen (ZH)
35,1,Specogna Bau AG,2019,Boden-Parkettleger/in EFZ,Kloten (ZH)
36,1,Zeiter Konrad AG,2019,Boden-Parkettleger/in (Parkett) EFZ,Lalden (VS (de))
37,1,Bauunternehmung Baroffio AG,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Lüterkofen (SO)
38,1,Josef Imgrüt AG,2019,Bootbauer/in EFZ,Luzern (LU)
39,1,Fuchs Bau AG,2019,Bootfachwart/in EFZ,Malters (LU)
40,1,Nägeli & Co.,2019,Buchhändler/in EFZ,Marthalen (ZH)
41,1,Johann Loher AG,2019,Büchsenmacher/in EFZ,Montlingen (SG)
42,1,Marti AG Bern,2019,Bühnentänzer/in EFZ,Moosseedorf (BE)
43,1,GT Bauservice GmbH,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Muttenz (BL)
44,1,Ruppen Peter AG,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Naters (VS (de))
45,1,Gebrüder Mahler AG,2019,Büroassistent/in EBA,Niederuzwil (SG)
46,1,Sidler & Co. Nottwil AG,2019,Carrosserielackierer/in EFZ,Nottwil (LU)
47,1,Bianchi Bau AG,2019,Carrosseriespengler/in EFZ,Obersaxen (GR)
48,1,Strabag AG,2019,Chemie- und Pharmapraktiker/in EBA,Oensingen (SO)
49,2,ERNE AG Bauunternehmung,2019,Chemie- und Pharmatechnologe/-login EFZ,Olten (SO)
50,1,BEER SA,2019,Coiffeur/-euse EBA,Rabius (GR)
51,1,Klauser Baugeschäft GmbH,2019,Coiffeur/-euse EFZ,Reitnau (AG)
52,1,Heini AG,2019,Dachdecker/in EFZ,Rhäzüns (GR)
53,1,Gautschi AG,2019,Dachdeckerpraktiker/in EBA,Rorschach (SG)
54,1,Valaulta Berni AG,2019,Dekorationsnäher/in EBA,Rueun (GR)
55,1,RUBAG,2019,Dentalassistent/in EFZ,Ruswil (LU)
56,1,Lazzarini AG,2019,Detailhandelsassistent/in EBA,Samedan (GR)
57,1,Gebr. Hilti AG,2019,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Schaan (FL)
58,1,Bezzola Denoth AG,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Scuol (GR)
59,1,Fasolini AG,2019,Detailhandelsassistent/in (Consumer-Electronics) EBA,Sils im Domleschg (GR)
60,1,ERNE AG Bauunternehmung,2019,Detailhandelsassistent/in (Do-it-yourself) EBA,Solothurn (SO)
61,1,Gautschi AG,2019,Detailhandelsassistent/in (Eisenwaren) EBA,St. Margrethen SG (SG)
62,1,Clemens Christen Bau GmbH,2019,Detailhandelsassistent/in (Elektrofach) EBA,Stans (NW)
63,1,Gebr. Zengaffinen AG,2019,Detailhandelsassistent/in (Farben) EBA,Steg VS (VS (de))
64,1,Paul Gschwind AG,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Therwil (BL)
65,1,Jules Steiger AG,2019,Detailhandelsassistent/in (Flower) EBA,Triengen (LU)
66,1,Schefer Hoch- und Tiefbau AG,2019,Detailhandelsassistent/in (Garden) EBA,Trogen (AR)
67,1,F. Zeller AG,2019,Detailhandelsassistent/in (Haushalt) EBA,Tscherlach (SG)
68,1,Caviezel Bauunternehmung GmbH,2019,Detailhandelsassistent/in (Kiosk) EBA,Tumegl/Tomils (GR)
69,2,A. Soltermann AG,2019,Detailhandelsassistent/in (Landi) EBA,Unterkulm (AG)
70,1,Interalp Bau AG,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Visp (VS (de))
71,2,Walpen AG,2019,Detailhandelsassistent/in (Möbel) EBA,Visp (VS (de))
72,1,Ziltener Wohnbau AG,2019,Detailhandelsassistent/in (Musikinstrumente) EBA,Wallenwil (TG)
73,2,Bretscher AG,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Wallisellen (ZH)
74,1,Frutiger AG Zürich,2019,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,Wallisellen (ZH)
75,1,Leo Hasler AG,2019,Detailhandelsassistent/in (Papeterie) EBA,Warth (TG)
76,1,"E. Weber AG Strassenbau,",2019,Detailhandelsassistent/in (Parfumerie) EBA,Wattwil (SG)
77,1,Stutz AG,2019,Detailhandelsassistent/in (Post) EBA,Willisau (LU)
78,3,Baltensperger AG,2019,Detailhandelsassistent/in (Schuhe) EBA,Winterthur (ZH)
79,2,Emch AG,2019,Detailhandelsassistent/in (Spielwaren) EBA,Winterthur (ZH)
80,1,Frei,2019,Detailhandelsassistent/in (Sportartikel) EBA,Winterthur (ZH)
81,1,Gebr. Huber AG,2019,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Wöschnau (SO)
82,1,Meier + Jäggi AG,2019,Detailhandelsassistent/in (Textil) EBA,Zofingen (AG)
83,1,Rocca + Hotz AG,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",Zuoz (GR)
84,1,Anliker AG,2019,Detailhandelsassistent/in (Zoofachhandel) EBA,Zürich (ZH)
85,1,Gebr. Nötzli AG,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",Zürich (ZH)
86,1,Implenia Schweiz AG,2019,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Zürich (ZH)
87,1,Jak. Scheifele AG,2019,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Zürich (ZH)
88,1,STUTZ AG St. Gallen,2019,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Amriswil (TG)
89,1,J.-C. S. Sciage SA,2019,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Attalens (FR)
90,2,Gebrüder Hodel AG,2019,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Baar (ZG)
91,1,Fracheboud SA,2019,Detailhandelsfachmann/-frau Beratung (Elektrofach) EFZ,Châtel-St-Denis (FR)
92,1,W. Örtig AG,2019,Detailhandelsfachmann/-frau Beratung (Farben) EFZ,Eschenbach SG (SG)
93,1,Clausen Beton-Trenn AG,2019,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Gamsen (VS (de))
94,1,Stutz AG,2019,Detailhandelsfachmann/-frau Beratung (Flower) EFZ,Kreuzlingen (TG)
95,1,Witschi AG,2019,Detailhandelsfachmann/-frau Beratung (Garden) EFZ,Langenthal (BE)
96,2,Interbohr AG,2019,Detailhandelsfachmann/-frau Beratung (Haushalt) EFZ,Luzern (LU)
97,1,Diamantbohr AG,2019,Detailhandelsfachmann/-frau Beratung (Kiosk) EFZ,Muttenz (BL)
98,1,ERNE AG Bauunternehmung,2019,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Olten (SO)
99,1,Trebosa AG,2019,Detailhandelsfachmann/-frau Beratung (Lederwaren und Reiseartikel) EFZ,Schaanwald (FL)
100,2,Betoncoupe AG,2019,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Schönenwerd (SO)
101,1,Diamantbohr AG,2019,Detailhandelsfachmann/-frau Beratung (Musikinstrumente) EFZ,St. Gallen (SG)
102,1,Bohrex AG,2019,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Subingen (SO)
103,1,A. Soltermann AG,2019,Detailhandelsfachmann/-frau Beratung (Öffentlicher Verkehr) EFZ,Unterkulm (AG)
104,1,Diamantbohr AG,2019,Detailhandelsfachmann/-frau Beratung (Papeterie) EFZ,Urdorf (ZH)
105,1,BETONAB AG,2019,Detailhandelsfachmann/-frau Beratung (Parfümerie) EFZ,Volketswil (ZH)
106,8,KSB Kantonale Schule für Berufsbildung,2019,Detailhandelsfachmann/-frau Beratung (Post) EFZ,Aarau (AG)
107,3,Lehratelier für Bekleidungsgestaltung Uri,2019,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Altdorf UR (UR)
108,10,Berufsfachschule Basel,2019,Detailhandelsfachmann/-frau Beratung (Spielwaren) EFZ,Basel (BS)
109,1,Couture et Plissé Floesser,2019,Detailhandelsfachmann/-frau Beratung (Sportartikel) EFZ,Basel (BS)
110,1,Raphael Blechschmidt,2019,Detailhandelsfachmann/-frau Beratung (Teppich und Bodenbeläge) EFZ,Basel (BS)
111,3,Kanton Graubünden,2019,Detailhandelsfachmann/-frau Beratung (Textil) EFZ,Chur (GR)
112,12,Ecole de couture / Couture-Lehratelier,2019,Detailhandelsfachmann/-frau Beratung (Uhren-Schmuck-Edelsteine) EFZ,Freiburg (FR)
113,6,Atelier Couture Création,2019,Detailhandelsfachmann/-frau Beratung (Zoofachhandel) EFZ,Kreuzlingen (TG)
114,1,Prince de Gall Fashion & Design,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Bewirtschaftung",Lichtensteig (SG)
115,12,BBZ Olten,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Autoteile-Logistik) EFZ,Olten 1 Fächer (SO)
116,1,Retouches Carmiña,2018,Detailhandelsfachmann/-frau Bewirtschaftung (Bäckerei/Konditorei/Confiserie) EFZ,Pully (VD)
117,1,Atelier Nique,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Consumer-Electronics) EFZ,Reinach BL (BL)
118,4,Lehratelier Bekleidungsgestaltung Rheinfelden,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Do-it-yourself) EFZ,Rheinfelden (AG)
119,1,nähwerk GmbH,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Eisenwaren) EFZ,Schaffhausen (SH)
120,15,Ecole de Couture du Valais,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Elektrofach) EFZ,Siders (VS (fr))
121,6,Gewerbliches Berufs- und,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Farben) EFZ,St. Gallen (SG)
122,4,Atelier Schnittpunkt,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Fleischwirtschaft) EFZ,Stans (NW)
123,10,LU Couture AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Flower) EFZ,Willisau (LU)
124,26,"Modeco, Schweiz. Fachschule",2019,Detailhandelsfachmann/-frau Bewirtschaftung (Garden) EFZ,Zürich (ZH)
125,1,Theater Neumarkt,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Haushalt) EFZ,Zürich (ZH)
126,4,"Modeco, Schweiz. Fachschule",2019,Detailhandelsfachmann/-frau Bewirtschaftung (Kiosk) EFZ,Zürich (ZH)
127,1,Boutique et Atelier de couture L.K.,2018,Detailhandelsfachmann/-frau Bewirtschaftung (Landi) EFZ,Lausanne (VD)
