,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,1,Buchhandlung Kronengasse AG,2019,Abdichter/in EFZ,Aarau (AG)
1,1,Orell Füssli Wirz,2019,Abdichtungspraktiker/in EBA,Aarau (AG)
2,1,Scheidegger & Co. AG,2019,Agrarpraktiker/in EBA,Affoltern am Albis (ZH)
3,2,Bider & Tanner AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Basel (BS)
4,3,Orell Füssli Thalia AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Basel (BS)
5,4,Stauffacher Buchhandlungen,2019,Agrarpraktiker/in (Weinbereitung) EBA,Bern (BE)
6,3,Thalia,2019,Anlagen- und Apparatebauer/in EFZ,Bern (BE)
7,1,Lüthy + Stocker AG,2019,Anlagenführer/in EFZ,Biel/Bienne (BE)
8,1,ZAP* Zur Alten Post AG,2019,Architekturmodellbauer/in EFZ,Brig (VS (de))
9,1,OLF SA - Corminboeuf,2019,Assistent/in Gesundheit und Soziales EBA,Corminboeuf (FR)
10,1,Buchhandlung zum Geeren AG,2019,Augenoptiker/in EFZ,Dielsdorf (ZH)
11,1,Moflar AG,2019,Automatiker/in EFZ,Heerbrugg (SG)
12,1,Bodan AG,2019,Automatikmonteur/in EFZ,Kreuzlingen (TG)
13,1,FNAC Lausanne,2018,Automobil-Assistent/in EBA,Lausanne (VD)
14,1,Lüthy + Stocker AG,2019,Automobil-Fachmann/-frau EFZ,Luzern (LU)
15,1,Buchhandlung Klosterplatz GmbH,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Olten (SO)
16,2,Lüthy + Stocker AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Solothurn (SO)
17,1,Orell Füssli Thalia AG,2019,Automobil-Mechatroniker/in EFZ,St. Gallen (SG)
18,2,Orell Füssli Thalia AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,St. Gallen (SG)
19,1,Thalia,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Thun (BE)
20,1,ZAP* Zur Alten Post AG,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Visp (VS (de))
21,1,Lüthy + Stocker AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Wallisellen (ZH)
22,1,Orell Füssli Thalia AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Winterthur (ZH)
23,1,Bücher Balmer AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Zug (ZG)
24,1,Buchhandlung Hirslanden,2019,Baumaschinenmechaniker/in EFZ,Zürich (ZH)
25,1,Buchhandlung Nievergelt GmbH,2019,Baupraktiker/in EBA,Zürich (ZH)
26,1,Lüthy + Stocker AG,2019,Bauwerktrenner/in EFZ,Zürich (ZH)
27,2,Orell Füssli Thalia AG,2019,Bekleidungsgestalter/in EFZ,Zürich (ZH)
28,3,Orell Füssli Thalia AG,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Zürich (ZH)
29,1,NaturAktiv AG,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Pfungen (ZH)
