,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,3,Franke Schweiz AG,2019,Abdichter/in EFZ,Aarburg (AG)
1,1,Dyno AG,2019,Abdichtungspraktiker/in EBA,Aefligen (BE)
2,1,Stöcklin Logistik AG,2019,Agrarpraktiker/in EBA,Aesch BL (BL)
3,1,Schmidlin AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Affoltern am Albis (ZH)
4,10,Morath AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Allschwil (BL)
5,1,RUAG Schweiz AG,2019,Agrarpraktiker/in (Weinbereitung) EBA,Alpnach Dorf (OW)
6,1,FITECH AG,2019,Anlagen- und Apparatebauer/in EFZ,Amriswil (TG)
7,1,Leutenegger + Frei AG,2019,Anlagenführer/in EFZ,Andwil SG (SG)
8,2,Bühler AG,2019,Architekturmodellbauer/in EFZ,Appenzell (AI)
9,1,libs Industrielle Berufslehren Schweiz,2019,Assistent/in Gesundheit und Soziales EBA,Baden (AG)
10,1,Büchel Blech AG,2019,Augenoptiker/in EFZ,Balzers (FL)
11,1,CBRE GWS GmbH,2019,Automatiker/in EFZ,Basel (BS)
12,1,F. Hoffmann-La Roche AG,2019,Automatikmonteur/in EFZ,Basel (BS)
13,1,Jet Aviation AG,2019,Automobil-Assistent/in EBA,Basel (BS)
14,1,Bachmann AG Beringen,2019,Automobil-Fachmann/-frau EFZ,Beringen (SH)
15,1,EMCH Aufzüge AG,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Bern (BE)
16,2,Hugo Leutenegger AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bettwiesen (TG)
17,1,Kowa Baumontagen AG,2019,Automobil-Mechatroniker/in EFZ,Bichwil (SG)
18,2,Cerex AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Bleienbach (BE)
19,1,Jörimann Stahl AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Bonaduz (GR)
20,1,Schlosserei Otto Jäggi-Jäggi,2019,Bäcker/in-Konditor/in-Confiseur/in EBA,Boningen (SO)
21,1,JAA,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Breitenbach (SO)
22,1,Wirth + Co. AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Buchrain (LU)
23,1,RONDO Burgdorf AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Burgdorf (BE)
24,1,Kalag AG,2019,Baumaschinenmechaniker/in EFZ,Bütschwil (SG)
25,1,Toscano Stahlbau AG,2019,Baupraktiker/in EBA,Cazis (GR)
26,1,Ginox SA,2018,Bauwerktrenner/in EFZ,Chailly-Montreux (VD)
27,1,alig grossküchen ag,2019,Bekleidungsgestalter/in EFZ,Chur (GR)
28,1,Auprès d'une entreprise partenaire du REN,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Cressier NE (NE)
29,1,Matisa Matériel Industriel SA,2018,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Crissier (VD)
30,1,Blechtech AG,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Dachsen (ZH)
31,1,S Combi AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Dintikon (AG)
32,2,EMS-CHEMIE AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Domat/Ems (GR)
33,2,Romag Aquacare AG,2019,Bekleidungsnäher/in EBA,Düdingen (FR)
34,1,ECE GmbH,2019,Betonwerker/in EFZ,Dulliken (SO)
35,6,Schindler Berufsbildung,2019,Boden-Parkettleger/in EFZ,Ebikon (LU)
36,1,Holcim (Suisse) SA,2018,Boden-Parkettleger/in (Parkett) EFZ,Eclépens (VD)
37,1,Zaugg AG Eggiwil,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Eggiwil (BE)
38,2,Schindler Aufzüge AG,2019,Bootbauer/in EFZ,Embrach (ZH)
39,1,TM Metalltechnik AG,2019,Bootfachwart/in EFZ,Emmen (LU)
40,1,Gebr. Meier AG,2019,Buchhändler/in EFZ,Emmenbrücke (LU)
41,1,Hans Eberle AG,2019,Büchsenmacher/in EFZ,Ennenda (GL)
42,1,Aerolite AG,2019,Bühnentänzer/in EFZ,Ennetbürgen (NW)
43,1,Otto Lang AG,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Ermensee (LU)
44,1,Tôlerie industrielle Etagnières SA,2018,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Etagnières (VD)
45,1,Z Montagen,2019,Büroassistent/in EBA,Felsberg (GR)
46,1,Marton AG,2019,Carrosserielackierer/in EFZ,Flawil (SG)
47,1,Bartholet,2019,Carrosseriespengler/in EFZ,Flums (SG)
48,1,Metaltec Thurgau,2019,Chemie- und Pharmapraktiker/in EBA,Frauenfeld (TG)
49,1,Letrona AG,2019,Chemie- und Pharmatechnologe/-login EFZ,Friltschen (TG)
50,2,Schlegel AG,2019,Coiffeur/-euse EBA,Goldach (SG)
51,1,Garaventa AG,2019,Coiffeur/-euse EFZ,Goldau (SZ)
52,1,ChromtechAI,2019,Dachdecker/in EFZ,Gonten (AI)
53,1,J. & E. MAIER AG,2019,Dachdeckerpraktiker/in EBA,Gossau SG (SG)
54,1,Techniques Laser SA,2018,Dekorationsnäher/in EBA,Goumoens-la-Ville (VD)
55,1,Lippuner EMT AG,2019,Dentalassistent/in EFZ,Grabs (SG)
56,1,Herren Frères & Cie Les Tuileries,2018,Detailhandelsassistent/in EBA,Grandson (VD)
57,2,APACO AG,2019,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Grellingen (BL)
58,2,Meyer BlechTechnik AG,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Grosswangen (LU)
59,1,IST-Edelstahl-Anlagenbau AG,2019,Detailhandelsassistent/in (Consumer-Electronics) EBA,Gwatt (Thun) (BE)
60,1,Fr. Blaser AG,2019,Detailhandelsassistent/in (Do-it-yourself) EBA,Hasle b. Burgdorf (BE)
61,3,Müller Martini,2019,Detailhandelsassistent/in (Eisenwaren) EBA,Hasle LU (LU)
62,1,Hohl AG,2019,Detailhandelsassistent/in (Elektrofach) EBA,Herznach (AG)
63,2,e. Luterbach AG,2019,Detailhandelsassistent/in (Farben) EBA,Hildisrieden (LU)
64,1,Seven-Air Gebr. Meyer AG,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Hitzkirch (LU)
65,1,hetech ag,2019,Detailhandelsassistent/in (Flower) EBA,Hochdorf (LU)
66,1,Pius Nadler AG,2019,Detailhandelsassistent/in (Garden) EBA,Höri (ZH)
67,1,Mirap AG,2019,Detailhandelsassistent/in (Haushalt) EBA,Jona (SG)
68,1,Leister AG,2019,Detailhandelsassistent/in (Kiosk) EBA,Kägiswil (OW)
69,1,Meidinger AG,2019,Detailhandelsassistent/in (Landi) EBA,Kaiseraugst (AG)
70,1,Neuweiler AG,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Kreuzlingen (TG)
71,1,Isenschmid AG,2019,Detailhandelsassistent/in (Möbel) EBA,Küssnacht am Rigi (SZ)
